business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
CA02,0140105686,SYSC llc,2020-04-19 01:16:25.625000000,2020.0,2960623488.0,2020-03-30 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-31 00:00:00.000000000,CA10,3299.7,0-15
U001,0200744019,TARG us,2020-04-09 13:19:12.000000000,2020.0,1930659387.0,2020-03-19 00:00:00.000000000,2020-04-03 00:00:00.000000000,2020-03-19 00:00:00.000000000,NAA8,7821.114,0-15
U001,0200418007,AM ,2020-03-28 19:11:44.515625000,2020.0,1930610806.0,2020-03-11 00:00:00.000000000,2020-03-26 00:00:00.000000000,2020-03-11 00:00:00.000000000,NAA8,2467.913,0-15
U001,0200739534,OK systems,2020-05-01 21:03:53.625000000,2020.0,1930788296.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,84773.95499999999,0-15
U001,0200353024,DECA corporation,2020-04-22 04:40:53.093750000,2020.0,1930817482.0,2020-04-23 00:00:00.000000000,2020-04-26 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAM2,2608.2419999999997,
U001,0200744019,TARG associates,2020-04-11 09:25:13.937500000,2020.0,1930676042.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAA8,4125.107,0-15
CA02,0140106408,WAL-M corp,2020-04-07 19:48:37.500000000,2020.0,2960618790.0,2020-03-06 00:00:00.000000000,2020-03-16 00:00:00.000000000,2020-03-06 00:00:00.000000000,CA10,92832.27,16-30
U001,0200337148,COAS llc,2020-03-22 23:03:07.843750000,2020.0,1930592246.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,7966.580999999999,0-15
U001,0200794332,COST associates,2020-04-24 08:05:23.968750000,2020.0,1930731070.0,2020-04-07 00:00:00.000000000,2020-04-22 00:00:00.000000000,2020-04-07 00:00:00.000000000,NAAX,2704.7509999999997,0-15
U001,0200794332,COST llc,2020-05-10 17:22:02.906250000,2020.0,1930803605.0,2020-04-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,NAAX,52117.106999999996,0-15
